Date,Open,High,Low,Close,Volume,Adj Close,change,pos or neg
2/20/17,142,144.85,140.8,144.15,918500,144.15,3.9,TRUE
2/13/17,142.55,148.85,139.05,140.25,1166200,140.25,-1.9,FALSE
2/6/17,144.4,144.5,137.2,142.15,1063300,142.15,-2.75,FALSE
1/30/17,148.1,149,143.7,144.9,1164400,144.9,-5,FALSE
1/23/17,148.5,156.55,147.55,149.9,1606700,149.9,1.7,TRUE
1/16/17,147.4,148.6,143.15,148.2,1086600,148.2,-1.35,FALSE
1/9/17,140,152.15,139.8,149.55,2427300,149.55,10.55,TRUE
1/2/17,132.7,143.1,132.3,139,1272700,139,5.65,TRUE
12/26/16,137.5,138.95,132.15,133.35,604400,133.35,-4.15,FALSE
12/19/16,130.9,140,129.45,137.5,1307200,137.5,6.3,TRUE
12/12/16,126.75,131.9,125.85,131.2,1342500,131.2,3.1,TRUE
12/5/16,118,129.65,117.9,128.1,1580500,128.1,9.35,TRUE
11/28/16,124.2,124.2,117.2,118.75,1030600,118.75,-6.35,FALSE
11/21/16,118.45,125.3,117.65,125.1,1313000,125.1,7.95,TRUE
11/14/16,117.6,120,115.55,117.15,1142000,117.15,-0.35,FALSE
11/7/16,118.05,119.55,113.4,117.5,1765800,117.5,-1.2,FALSE
10/31/16,125.8,126.6,117.4,118.7,1029900,118.7,-7.25,FALSE
10/24/16,123.4,128.75,121.9,125.95,1355600,125.95,2.7,TRUE
10/17/16,119.95,123.9,119.35,123.25,1001500,123.25,2.65,TRUE
10/10/16,118.75,121.9,116.7,120.6,1058400,120.6,2.05,TRUE
10/3/16,116.95,121.35,116.55,118.55,1000700,118.55,1.6,TRUE
9/26/16,118.4,118.45,110.6,116.95,1459900,116.95,-2.2,FALSE
9/19/16,119.5,122.2,118.35,119.15,879900,119.15,1.2,TRUE
9/12/16,122.8,124.4,117.8,117.95,1316400,117.95,-6.9,FALSE
9/5/16,124.7,127.9,124.15,124.85,939800,124.85,-0.3,FALSE
8/29/16,123.2,126.95,121.85,125.15,902100,125.15,0.95,TRUE
8/22/16,119.25,124.25,118.7,124.2,985500,124.2,4.3,TRUE
8/15/16,125.5,127.2,118.75,119.9,829900,119.9,-4.75,FALSE
